SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1535.00,1612.50,1511.25,1580.35,1605.00,1541.05,1015,10074,15714903.00,
500003,AEGIS LOGIS ,A ,Q,287.00,295.00,275.25,289.50,288.65,283.45,1062,44901,12672296.00,
500008,AMAR RAJA BA,A ,Q,833.00,833.20,821.00,824.50,824.30,832.40,516,16404,13576089.00,
500009,A.SARABHAI  ,XT,Q,10.38,10.90,10.20,10.89,10.90,10.39,85,62018,669745.00,
500010,HDFC        ,A ,Q,1899.00,1912.05,1891.40,1900.45,1900.45,1897.00,2641,2620446,4974440652.00,
500012,ANDHRA PETRO,X ,Q,65.00,65.95,63.15,64.70,64.70,63.05,321,79590,5159417.00,
500013,ANSAL INFRAS,B ,Q,29.75,30.55,29.75,29.75,29.75,31.30,176,55981,1674853.00,
500014,APPLE FINANC,X ,Q,4.12,4.44,4.12,4.25,4.25,4.33,28,20413,84642.00,
500020,BOM DYEING  ,A ,Q,250.00,258.90,237.30,254.15,254.15,250.55,10185,1336771,329520818.00,
500023,ASIANHOTNR  ,B ,Q,296.40,305.25,280.05,283.95,285.05,298.35,268,9246,2696367.00,
500024,ASSAMCO     ,T ,Q,5.58,5.58,5.10,5.25,5.25,5.34,169,164336,862955.00,
500027,ATUL LTD.   ,A ,Q,2976.85,2985.80,2850.00,2892.80,2892.80,2936.50,736,3270,9531815.00,
500028,ATV PROJECTS,XT,Q,13.10,13.50,12.55,13.00,13.30,13.19,70,24921,323555.00,
500029,AUTOLITE(I) ,B ,Q,72.05,72.90,70.10,72.50,72.60,70.40,30,2054,146809.00,
500031,BAJAJ ELECT.,A ,Q,530.10,538.50,521.90,529.50,528.40,529.35,746,35336,18738881.00,
500032,BAJAJHIND   ,A ,Q,14.60,15.05,14.45,14.85,14.85,14.75,1212,1288664,19015858.00,
500033,FORCE MOTR  ,B ,Q,3285.00,3359.00,3280.00,3295.35,3295.35,3281.25,3216,22184,73401450.00,
500034,BAJFINANCE  ,A ,Q,1660.60,1711.75,1632.75,1701.95,1701.95,1660.35,2757,43268,72466362.00,
500038,BALRAM.CHINI,A ,Q,125.55,127.55,121.65,123.05,123.05,125.85,1725,252851,31596300.00,
500039,BANCO PROD. ,B ,Q,250.05,250.05,243.00,247.50,247.50,246.70,638,26603,6579672.00,
500040,CENTURY TEXT,A ,Q,1398.90,1415.90,1380.00,1409.95,1405.00,1383.65,1134,40005,55923399.00,
500041,BANNARI AMAN,B ,Q,2138.30,2138.30,2122.00,2122.00,2122.00,2147.00,3,41,87652.00,
500042,BASF INDIA  ,B ,Q,2197.35,2240.00,2195.95,2216.90,2207.15,2193.85,417,2565,5698396.00,
500043,BATA INDIA  ,A ,Q,725.40,725.40,710.80,716.15,716.15,720.45,752,20650,14792022.00,
500048,BEML LTD    ,A ,Q,1515.00,1528.40,1494.40,1511.15,1512.50,1509.80,1443,30630,46236752.00,
500049,BHARAT ELECT,A ,Q,172.90,173.40,170.25,172.75,172.75,171.15,1824,212631,36523380.00,
500052,BHANSALI ENG,B ,Q,188.00,188.00,178.25,182.15,182.15,186.35,2025,312273,56917717.00,
500055,BHUSH STEEL ,B ,Q,67.30,68.20,64.70,65.05,65.05,66.50,2603,574526,37856071.00,
500058,BIHAR SPONGE,XT,Q,2.50,2.69,2.47,2.47,2.47,2.59,30,17384,44923.00,
500059,BINANI IND. ,T ,Q,137.00,137.00,130.40,130.40,130.40,137.25,229,49804,6496793.00,
